,production_year,id,title,budget,film_type,animated
0,2006,4103791,Pirates of the Caribbean: Dead Man's Chest,225000000,F,no
1,2006,4022547,Night at the Museum,110000000,F,no
2,2006,3415583,Cars,70000000,D,yes
3,2006,4587958,X-Men: The Last Stand,210000000,F,no
4,2006,4351263,The Da Vinci Code,125000000,F,no
5,2006,4292783,Superman Returns,232000000,D|F,no
6,2006,3688918,Happy Feet,85000000,D,yes
7,2006,3742737,Ice Age: The Meltdown,75000000,D,yes
8,2006,3416743,Casino Royale,102000000,F,no
9,2006,4422776,The Pursuit of Happyness,55000000,F,no
10,2006,4072349,Over the Hedge,80000000,D,yes
11,2006,4306938,Talladega Nights: The Ballad of Ricky Bobby,73000000,F,no
12,2006,3443234,Click,82500000,D,no
13,2006,3973646,Mission: Impossible III,150000000,D|F,no
14,2006,4354171,The Departed,90000000,F,no
15,2006,3382988,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,D,no
16,2006,4354891,The Devil Wears Prada,35000000,F,no
17,2006,4338910,The Break-Up,52000000,F,no
18,2006,3545177,Dreamgirls,75000000,F,no
19,2006,4200942,Scary Movie 4,40000000,D,no
20,2006,3599271,Failure to Launch,50000000,F,no
21,2006,3764769,Inside Man,50000000,F,no
22,2006,4062558,Open Season,85000000,D,yes
23,2006,4431042,The Santa Clause 3: The Escape Clause,12000000,F,no
24,2006,3426002,Charlotte's Web,82500000,F,no
25,2006,4418312,The Pink Panther,80000000,F,no
26,2006,3559887,Eight Below,40000000,F,no
27,2006,4199533,Saw III,10000000,F,no
28,2006,4005914,Nacho Libre,32000000,F,no
29,2006,4597216,"You, Me and Dupree",54000000,F,no
30,2006,3583573,Eragon,100000000,F,no
31,2006,3981060,Monster House,75000000,D,yes
32,2006,3340223,Barnyard,51000000,D,yes
33,2006,3779188,Jackass Number Two,11000000,D,no
34,2006,4184521,RV,55000000,F,no
35,2006,4584613,World Trade Center,65000000,F,no
37,2006,3361273,Big Momma's House 2,40000000,F,no
38,2006,4276028,Step Up,12000000,F,no
39,2006,3622718,Flushed Away,149000000,D,yes
40,2006,3499858,Deja Vu,80000000,D|F,no
41,2006,3963356,Miami Vice,135000000,D|F,no
42,2006,4379574,The Holiday,85000000,F,no
43,2006,3928376,Madea's Family Reunion,10000000,F,no
44,2006,4363563,The Fast and the Furious: Tokyo Drift,85000000,F,no
45,2006,4517993,Underworld: Evolution,45000000,F,no
46,2006,4434348,The Shaggy Dog,60000000,F,no
47,2006,4116028,Poseidon,160000000,F,no
48,2006,4373148,The Good Shepherd,90000000,F,no
49,2006,3902408,Little Miss Sunshine,8000000,F,no
50,2006,4332804,The Benchwarmers,35000000,F,no
51,2006,3472434,Curious George,50000000,D,yes
53,2006,3769678,Invincible,40000000,F,no
54,2006,3374009,Blood Diamond,100000000,F,no
56,2006,4375784,The Guardian,70000000,F,no
57,2006,4412517,The Omen,25000000,F,no
58,2006,3613929,Final Destination 3,25000000,F,no
59,2006,4420579,The Prestige,40000000,F,no
60,2006,4388766,The Lake House,40000000,F,no
61,2006,3306082,Apocalypto,40000000,D|F,no
62,2006,3616510,Firewall,50000000,F,no
63,2006,3487752,Date Movie,20000000,F,no
64,2006,4566445,When a Stranger Calls,15000000,F,no
65,2006,4236102,Silent Hill,50000000,D|F,no
67,2006,4557731,We Are Marshall,65000000,F,no
68,2006,3662671,Glory Road,30000000,F,no
69,2006,3862759,Lady in the Water,75000000,F,no
70,2006,4378966,The Hills Have Eyes,17000000,F,no
71,2006,3792938,John Tucker Must Die,18000000,F,no
72,2006,4281287,Stranger Than Fiction,30000000,F,no
73,2006,4382282,The Illusionist,16500000,F,no
74,2006,4445284,The Texas Chainsaw Massacre: The Beginning,16000000,F,no
75,2006,4375741,The Grudge 2,20000000,F,no
76,2006,3675099,Gridiron Gang,30000000,F,no
77,2006,3867947,Last Holiday,45000000,F,no
78,2006,3567285,El laberinto del fauno,16000000,F,no
79,2006,4408843,The Nativity Story,35000000,F,no
80,2006,3936961,Man of the Year,20000000,F,no
81,2006,4457472,The Wild,80000000,D,yes
82,2006,3217057,16 Blocks,45000000,F,no
83,2006,3260960,Accepted,23000000,F,no
84,2006,4433561,The Sentinel,60000000,F,no
85,2006,3431990,Children of Men,76000000,F,no
86,2006,3497989,Deck the Halls,51000000,F,no
87,2006,4305144,Take the Lead,30000000,F,no
88,2006,3328368,Babel,20000000,F,no
89,2006,4249326,Snakes on a Plane,33000000,F,no
90,2006,4225135,She's the Man,25000000,F,no
91,2006,3619400,Flags of Our Fathers,53000000,D|F,no
92,2006,4520404,United 93,18000000,F,no
93,2006,3576681,Employee of the Month,10000000,F,no
94,2006,3647992,Garfield: A Tail of Two Kitties,60000000,F,yes
95,2006,4327129,The Ant Bully,45000000,D,yes
96,2007,4265570,Spider-Man 3,258000000,F,no
97,2007,4231844,Shrek the Third,160000000,D,yes
98,2007,4490108,Transformers,151000000,F,no
99,2007,4103788,Pirates of the Caribbean: At World's End,300000000,F,no
100,2007,3691589,Harry Potter and the Order of the Phoenix,150000000,F,no
101,2007,3734590,I Am Legend,150000000,F,no
102,2007,4337941,The Bourne Ultimatum,130000000,F,no
103,2007,4011379,National Treasure: Book of Secrets,130000000,F,no
105,2006,3224132,300,60000000,F,no
106,2007,4147848,Ratatouille,150000000,D,yes
107,2007,4436062,The Simpsons Movie,72500000,D,yes
108,2007,4575414,Wild Hogs,60000000,F,no
109,2007,3825125,Knocked Up,27500000,F,no
110,2007,3799556,Juno,7000000,F,no
111,2007,4183784,Rush Hour 3,180000000,F,no
112,2007,3903519,Live Free or Die Hard,110000000,F,no
113,2007,3226084,4: Rise of the Silver Surfer,120000000,D|F,no
114,2007,3288062,American Gangster,100000000,F,no
115,2007,3578765,Enchanted,85000000,F,yes
116,2007,3347226,Bee Movie,150000000,D,yes
117,2007,4292362,Superbad,17500000,D|F,no
118,2007,3738662,I Now Pronounce You Chuck & Larry,85000000,D,no
119,2007,3683582,Hairspray,75000000,F,no
120,2007,3370906,Blades of Glory,61000000,F,no
121,2007,4046427,Ocean's Thirteen,85000000,F,no
122,2007,3656057,Ghost Rider,120000000,F,no
123,2007,3590391,Evan Almighty,175000000,F,no
124,2007,3954311,Meet the Robinsons,150000000,D,yes
125,2007,4032797,Norbit,60000000,F,no
126,2007,4340125,The Bucket List,45000000,F,no
127,2007,4369338,The Game Plan,22000000,F,no
128,2007,3390887,Bridge to Terabithia,25000000,F,no
129,2007,3352785,Beowulf,150000000,D,yes
130,2007,3529684,Disturbia,20000000,F,no
131,2007,4027377,No Country for Old Men,25000000,F,no
132,2007,3633249,Fred Claus,100000000,F,no
133,2007,3216737,1408,22500000,F,no
134,2007,4372550,The Golden Compass,205000000,D|F,no
135,2007,3425807,Charlie Wilson's War,75000000,F,no
136,2007,4199536,Saw IV,10000000,F,no
137,2007,4278745,Stomp the Yard,14000000,F,no
138,2007,4293871,Surf's Up,100000000,D,yes
139,2007,3684883,Halloween,15000000,F,no
140,2007,4573407,Why Did I Get Married?,15000000,F,no
141,2007,4476659,TMNT,35000000,D,yes
142,2007,4074000,P.S. I Love You,30000000,F,no
143,2007,3224812,3:10 to Yuma,48000000,F,no
144,2007,4297274,Sweeney Todd: The Demon Barber of Fleet Street,50000000,F,no
145,2007,3320142,Atonement,30000000,F,no
146,2007,4160703,Resident Evil: Extinction,45000000,F,no
147,2007,3994671,Music and Lyrics,40000000,F,no
148,2007,3309027,Are We Done Yet?,28000000,F,no
149,2007,4465231,This Christmas,13000000,F,no
150,2007,3963670,Michael Clayton,21500000,F,no
151,2007,4121256,Premonition,20000000,F,no
152,2007,3479041,Dan in Real Life,25000000,F,no
153,2007,4387792,The Kingdom,72500000,D|F,no
154,2007,4230093,Shooter,60000000,F,no
155,2007,3893984,License to Wed,35000000,F,no
157,2007,4029286,No Reservations,28000000,F,no
158,2007,3346355,Because I Said So,39000000,F,no
159,2007,3325297,AVPR: Aliens vs Predator - Requiem,40000000,F,no
160,2007,4455324,The Water Horse,40000000,F,no
161,2007,4462665,There Will Be Blood,25000000,F,no
162,2007,3582757,Epic Movie,20000000,F,no
163,2007,3713283,Hitman,17500000,F,no
164,2007,3223933,30 Days of Night,30000000,F,no
166,2007,4273155,Stardust,70000000,F,no
167,2007,4338774,The Brave One,70000000,F,no
168,2007,4378039,The Heartbreak Kid,60000000,F,no
169,2007,3634195,Freedom Writers,21000000,F,no
170,2006,4248645,Smokin' Aces,17000000,F,no
171,2007,4404192,The Messengers,16000000,F,no
172,2007,4411406,The Number 23,32000000,F,no
173,2007,3668029,Good Luck Chuck,25000000,F,no
174,2007,3988722,Mr. Bean's Holiday,25000000,F,no
175,2007,4605969,Zodiac,85000000,D|F,no
178,2007,3989416,Mr. Magorium's Wonder Emporium,65000000,F,no
179,2007,3322353,August Rush,25000000,F,no
180,2007,3476666,Daddy's Little Girls,10000000,F,no
181,2007,4374169,The Great Debaters,15000000,F,no
182,2007,3222785,28 Weeks Later,15000000,D|F,no
183,2007,4558500,We Own the Night,28000000,F,no
184,2007,3988847,Mr. Brooks,20000000,F,no
185,2007,3687572,Hannibal Rising,50000000,F,no
186,2007,4408664,The Nanny Diaries,20000000,F,no
187,2007,3990017,Mr. Woodcock,22000000,F,no
188,2007,4405822,The Mist,13000000,F,no
189,2007,4008711,Nancy Drew,20000000,F,no
190,2007,4424867,The Reaping,40000000,F,no
191,2007,3675449,Grindhouse,53000000,D|F,no
193,2007,3262294,Across the Universe,45000000,F,no
194,2007,4093981,Perfect Stranger,60795000,F,no
196,2008,4351882,The Dark Knight,185000000,F,no
197,2008,3771267,Iron Man,186000000,F,no
198,2008,3760878,Indiana Jones and the Kingdom of the Crystal Skull,185000000,F,no
199,2008,3686394,Hancock,150000000,F,no
200,2008,4552441,WALL·E,180000000,D,yes
201,2008,3832916,Kung Fu Panda,130000000,D,yes
202,2008,4503073,Twilight,37000000,F,no
203,2008,3927469,Madagascar: Escape 2 Africa,150000000,D,yes
204,2008,4138272,Quantum of Solace,230000000,D|F,no
205,2008,3722187,Horton Hears a Who!,85000000,D,yes
206,2008,4217680,Sex and the City,57500000,F,no
207,2008,3671548,Gran Torino,25000000,F,no
208,2008,3936184,Mamma Mia!,52000000,F,no
209,2008,3944079,Marley & Me,60000000,F,no
210,2008,4345058,The Chronicles of Narnia: Prince Caspian,225000000,F,no
211,2008,4246897,Slumdog Millionaire,14000000,D|F,no
212,2008,4382809,The Incredible Hulk,137500000,F,no
213,2008,4553361,Wanted,75000000,F,no
214,2008,3654344,Get Smart,80000000,D|F,no
215,2008,4350809,The Curious Case of Benjamin Button,160000000,D|F,no
216,2008,3629862,Four Christmases,80000000,F,no
217,2008,3380323,Bolt,150000000,D,yes
218,2008,4496275,Tropic Thunder,90000000,F,no
219,2008,3347132,Bedtime Stories,80000000,D|F,no
220,2008,4407588,The Mummy: Tomb of the Dragon Emperor,175000000,F,no
221,2008,3795911,Journey to the Center of the Earth,45000000,D,no
222,2008,3554411,Eagle Eye,80000000,F,no
223,2008,4275939,Step Brothers,65000000,F,no
224,2008,4596168,You Don't Mess with the Zohan,90000000,D,no
225,2008,4593276,Yes Man,50000000,F,no
226,2008,3214733,"10,000 BC",105000000,F,no
227,2008,3356360,Beverly Hills Chihuahua,20000000,F,no
228,2008,3708274,High School Musical 3: Senior Year,11000000,F,no
229,2008,4102491,Pineapple Express,26000000,F,no
230,2008,4530611,Valkyrie,90000000,F,no
231,2008,3221663,21,35000000,D|F,no
232,2008,4564275,What Happens in Vegas,35000000,F,no
233,2008,3798659,Jumper,82500000,F,no
234,2008,3444745,Cloverfield,25000000,D,no
235,2008,4352717,The Day the Earth Stood Still,80000000,F,no
236,2008,3222690,27 Dresses,30000000,F,no
237,2008,3700482,Hellboy II: The Golden Army,82500000,F,no
238,2008,4532220,Vantage Point,40000000,F,no
239,2008,4439064,The Spiderwick Chronicles,92500000,F,no
240,2008,3624679,Fool's Gold,72500000,F,no
241,2008,4216904,Seven Pounds,54000000,F,no
242,2008,4174833,Role Models,28000000,F,no
243,2008,3687478,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,6500000,D,no
244,2008,4376805,The Happening,60000000,F,no
245,2008,3628127,Forgetting Sarah Marshall,30000000,F,no
246,2008,3329189,Baby Mama,30000000,F,no
247,2008,3400026,Burn After Reading,37000000,F,no
248,2008,4276032,Step Up 2: The Streets,17500000,F,no
249,2008,4199543,Saw V,10800000,F,no
250,2008,4441628,The Strangers,9000000,F,no
251,2008,4367126,The Forbidden Kingdom,55000000,D|F,no
252,2008,4443865,The Tale of Despereaux,60000000,D,yes
253,2008,3323254,Australia,130000000,F,no
254,2008,4380718,The House Bunny,25000000,D,no
255,2008,4025142,Nim's Island,37000000,F,no
256,2008,3928316,Made of Honor,40000000,F,no
258,2008,4436392,The Sisterhood of the Traveling Pants 2,27000000,F,no
259,2008,4264669,Speed Racer,120000000,D,no
260,2008,4128523,Prom Night,18000000,F,no
261,2008,4145748,Rambo,47500000,F,no
262,2008,4560795,"Welcome Home, Roscoe Jenkins",27500000,F,no
263,2008,3954177,Meet the Browns,20000000,F,no
264,2008,4024205,Nights in Rodanthe,30000000,F,no
265,2008,3950081,Max Payne,35000000,D|F,no
266,2008,4167394,Righteous Kill,60000000,F,no
267,2008,3379058,Body of Lies,67500000,F,no
268,2008,3863802,Lakeview Terrace,20000000,F,no
269,2008,3954323,Meet the Spartans,30000000,F,no
270,2008,3691204,Harold & Kumar Escape from Guantanamo Bay,12000000,F,no
272,2008,4432781,The Secret Life of Bees,11000000,F,no
274,2008,3496754,Death Race,65000000,F,no
275,2008,3424168,Changeling,55000000,F,no
276,2008,4272913,Star Wars: The Clone Wars,8500000,D,yes
277,2008,4424355,The Reader,32500000,F,no
278,2008,4212990,Semi-Pro,55000000,F,no
279,2008,3616440,Fireproof,500000,D,no
280,2008,3541090,Doubt,20000000,F,no
281,2008,3546532,Drillbit Taylor,40000000,F,no
282,2008,3499524,"Definitely, Maybe",7000000,F,no
283,2008,4397404,The Love Guru,62000000,F,no
