,negative_format,year,budget,genres,film_type
0,35 mm,2006,225000000,Action,F
1,Video,2006,40000000,Action,F
2,Video,2006,40000000,Thriller,D
3,Video,2006,40000000,Drama,D
4,Video,2006,40000000,Adventure,D
5,Video,2006,40000000,Action,D
6,35 mm,2006,40000000,Thriller,F
7,35 mm,2006,40000000,Drama,F
8,35 mm,2006,40000000,Adventure,F
9,35 mm,2006,40000000,Action,F
10,Video,2006,40000000,Adventure,F
11,35 mm,2006,40000000,Thriller,D
12,35 mm,2006,40000000,Adventure,D
13,35 mm,2006,40000000,Action,D
14,16 mm,2006,40000000,Thriller,F
15,16 mm,2006,40000000,Drama,F
16,16 mm,2006,40000000,Adventure,F
17,16 mm,2006,40000000,Action,F
18,16 mm,2006,40000000,Thriller,D
19,16 mm,2006,40000000,Drama,D
20,16 mm,2006,40000000,Adventure,D
21,35 mm,2006,40000000,Drama,D
22,Video,2006,40000000,Drama,F
23,Video,2006,40000000,Thriller,F
24,35 mm,2006,50000000,Crime,F
25,35 mm,2006,65000000,Sport,F
26,35 mm,2006,65000000,Drama,F
27,65 mm,2006,0,Short,F
28,65 mm,2006,0,Documentary,F
29,Video,2006,50000000,Mystery,F
30,Video,2006,50000000,Horror,F
31,Video,2006,50000000,Adventure,F
32,Video,2006,50000000,Mystery,D
33,Video,2006,50000000,Horror,D
34,Video,2006,50000000,Adventure,D
35,35 mm,2006,50000000,Mystery,F
36,35 mm,2006,50000000,Horror,F
37,35 mm,2006,50000000,Adventure,F
38,35 mm,2006,50000000,Mystery,D
39,35 mm,2006,50000000,Horror,D
40,35 mm,2006,50000000,Adventure,D
41,35 mm,2006,15000000,Thriller,F
42,35 mm,2006,15000000,Horror,F
43,35 mm,2006,20000000,Romance,F
44,35 mm,2006,20000000,Comedy,F
45,35 mm,2006,50000000,Thriller,F
46,16 mm,2006,40000000,Action,D
47,35 mm,2006,30000000,Drama,F
48,35 mm,2006,40000000,Romance,F
49,35 mm,2006,40000000,Drama,F
50,Digital,2006,50000000,Comedy,D
51,Digital,2006,50000000,Animation,D
52,Digital,2006,50000000,Adventure,D
53,35 mm,2006,35000000,Sport,F
54,35 mm,2006,35000000,Family,F
55,35 mm,2006,35000000,Comedy,F
