,director,negative_format,year,budget,genres,film_type
0,"Zwigoff, Terry",35 mm,2006,,Drama,F
1,"Davis, John A.",Digital,2006,45000000.0,Adventure,D
2,"Beresford, Bruce",35 mm,2006,,Thriller,F
3,"Beresford, Bruce",35 mm,2006,,Drama,F
4,"Beresford, Bruce",35 mm,2006,,Crime,F
5,"Beresford, Bruce",35 mm,2006,,Action,F
6,"Davis, John A.",Digital,2006,45000000.0,Animation,D
7,"Davis, Andrew",35 mm,2006,70000000.0,Drama,F
8,"Davis, John A.",Digital,2006,45000000.0,Comedy,D
9,"Davis, John A.",Digital,2006,45000000.0,Fantasy,D
10,"Davis, Tamra",,2006,,Documentary,U
11,"Dayton, Jonathan",35 mm,2006,8000000.0,Comedy,F
12,"Dayton, Jonathan",35 mm,2006,8000000.0,Drama,F
13,"De Niro, Robert",35 mm,2006,90000000.0,Drama,F
14,"De Niro, Robert",35 mm,2006,90000000.0,History,F
15,"Davis, John A.",Digital,2006,45000000.0,Family,D
16,"Davis, Andrew",35 mm,2006,70000000.0,Adventure,F
17,"Davis, Andrew",35 mm,2006,70000000.0,Action,F
18,"Lumet, Sidney",HDCAM,2006,,Biography,D
19,"Daldry, Stephen",35 mm,2006,,Sport,F
20,"Macdonald, Kevin",35 mm,2006,,History,F
21,"Macdonald, Kevin",35 mm,2006,,Drama,F
22,"Macdonald, Kevin",35 mm,2006,,Biography,F
23,"Macdonald, Kevin",16 mm,2006,,Thriller,F
24,"Macdonald, Kevin",16 mm,2006,,History,F
25,"Macdonald, Kevin",16 mm,2006,,Drama,F
26,"Macdonald, Kevin",16 mm,2006,,Biography,F
27,"Lynch, David",Mini DV,2006,,Thriller,D
28,"Lynch, David",Mini DV,2006,,Mystery,D
29,"Lynch, David",Mini DV,2006,,Drama,D
30,"Dante, Joe",,2006,,Horror,U
31,"Lumet, Sidney",HDCAM,2006,,Drama,D
32,"Lumet, Sidney",HDCAM,2006,,Crime,D
33,"Lumet, Sidney",HDCAM,2006,,Comedy,D
34,"De Niro, Robert",35 mm,2006,90000000.0,Thriller,F
35,"Macdonald, Kevin",35 mm,2006,,Thriller,F
36,"De Palma, Brian",35 mm,2006,,Crime,F
37,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Adventure,F
38,"Linklater, Richard",Video,2006,,Thriller,U
39,"Linklater, Richard",Video,2006,,Sci-Fi,U
40,"Linklater, Richard",Video,2006,,Mystery,U
41,"Linklater, Richard",Video,2006,,Drama,U
42,"Linklater, Richard",Video,2006,,Crime,U
43,"Linklater, Richard",Video,2006,,Animation,U
44,"Linklater, Richard",16 mm,2006,,Comedy,F
45,"Bekmambetov, Timur",35 mm,2006,,Thriller,F
46,"Bekmambetov, Timur",35 mm,2006,,Action,F
47,"Demme, Jonathan",16 mm,2006,,Documentary,F
48,"Demme, Jonathan",16 mm,2006,,Music,F
49,"Lin, Justin",35 mm,2006,85000000.0,Thriller,F
50,"Lin, Justin",35 mm,2006,85000000.0,Crime,F
51,"Lin, Justin",35 mm,2006,85000000.0,Action,F
52,"Bekmambetov, Timur",35 mm,2006,,Fantasy,F
53,"Linklater, Richard",16 mm,2006,,Drama,F
54,"Linklater, Richard",16 mm,2006,,Romance,F
55,"del Toro, Guillermo",35 mm,2006,16000000.0,War,F
56,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Comedy,F
57,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Family,F
58,"Bell, William Brent",35 mm,2006,,Thriller,F
59,"Bell, William Brent",35 mm,2006,,Horror,F
60,"De Palma, Brian",35 mm,2006,,Mystery,F
61,"De Palma, Brian",35 mm,2006,,Thriller,F
62,"Dear, William",,2006,,Comedy,U
63,"Dear, William",,2006,,Horror,U
64,"Dear, William",,2006,,Thriller,U
65,"Lowery, David",,2006,,Short,U
66,"Lowery, David",,2006,,Animation,U
67,"Loncraine, Richard",35 mm,2006,50000000.0,Thriller,F
68,"Loncraine, Richard",35 mm,2006,50000000.0,Crime,F
69,"del Toro, Guillermo",35 mm,2006,16000000.0,Drama,F
70,"del Toro, Guillermo",35 mm,2006,16000000.0,Fantasy,F
71,"De Palma, Brian",35 mm,2006,,Drama,F
72,"Lin, Justin",35 mm,2006,,Sport,F
73,"MacGillivray, Greg",,2006,,Documentary,U
74,"Culton, Jill",Digital,2006,85000000.0,Family,D
75,McG,35 mm,2006,65000000.0,Drama,F
76,"McCulloch, Bruce",35 mm,2006,,Romance,F
77,"McCulloch, Bruce",35 mm,2006,,Comedy,F
78,"Small, Leslie",,2006,,Comedy,U
79,"Small, Leslie",,2006,,Documentary,U
80,"Craven, Wes",35 mm,2006,,Comedy,F
81,McG,35 mm,2006,65000000.0,Sport,F
82,"Smith, Kevin",35 mm,2006,,Comedy,F
83,"Craven, Wes",35 mm,2006,,Romance,F
84,"Maulucci, Damon",,2006,64000000.0,Short,U
85,"Snyder, Zack",35 mm,2006,60000000.0,Action,F
86,"Snyder, Zack",35 mm,2006,60000000.0,Fantasy,F
87,"Cretton, Destin Daniel",,2006,,Sci-Fi,U
88,"Cretton, Destin Daniel",,2006,,Short,U
89,"Craven, Wes",35 mm,2006,,Drama,F
90,"Core, Ericson",35 mm,2006,40000000.0,Sport,F
91,"Core, Ericson",35 mm,2006,40000000.0,Drama,F
92,"Core, Ericson",35 mm,2006,40000000.0,Biography,F
93,"Singer, Bryan",HDCAM,2006,232000000.0,Action,D
94,"Singer, Bryan",HDCAM,2006,232000000.0,Adventure,D
95,"Singer, Bryan",HDCAM,2006,232000000.0,Sci-Fi,D
